web-scraper-order,web-scraper-start-url,judul,tahun,durasi,age,rate
1718454606-217,https://www.imdb.com/chart/top/?ref_=nv_mv_250,217. Hotel Rwanda,2004,2h 1m,D,8.1 (373K)
1718454606-218,https://www.imdb.com/chart/top/?ref_=nv_mv_250,218. The Terminator,1984,1h 47m,D,8.1 (929K)
1718454606-219,https://www.imdb.com/chart/top/?ref_=nv_mv_250,219. Platoon,1986,2h,Passed,8.1 (442K)
1718454606-220,https://www.imdb.com/chart/top/?ref_=nv_mv_250,220. La passion de Jeanne d'Arc,1928,1h 50m,Not Rated,8.1 (61K)
1718454606-221,https://www.imdb.com/chart/top/?ref_=nv_mv_250,221. La haine,1995,1h 38m,R,8.1 (198K)
1718454606-222,https://www.imdb.com/chart/top/?ref_=nv_mv_250,222. Before Sunset,2004,1h 20m,Approved,8.1 (290K)
1718454606-223,https://www.imdb.com/chart/top/?ref_=nv_mv_250,223. The Best Years of Our Lives,1946,2h 50m,17+,8.1 (71K)
1718454606-224,https://www.imdb.com/chart/top/?ref_=nv_mv_250,224. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,D,8.1 (1.2M)
1718454606-225,https://www.imdb.com/chart/top/?ref_=nv_mv_250,225. The Exorcist,1973,2h 2m,16+,8.1 (457K)
1718454606-226,https://www.imdb.com/chart/top/?ref_=nv_mv_250,226. Jai Bhim,2021,2h 44m,R,8.7 (218K)
1718454606-227,https://www.imdb.com/chart/top/?ref_=nv_mv_250,227. Rush,2013,2h 3m,R,8.1 (516K)
1718454606-228,https://www.imdb.com/chart/top/?ref_=nv_mv_250,228. Network,1976,2h 1m,13+,8.1 (171K)
1718454606-229,https://www.imdb.com/chart/top/?ref_=nv_mv_250,229. The Wizard of Oz,1939,1h 42m,17+,8.1 (430K)
1718454606-230,https://www.imdb.com/chart/top/?ref_=nv_mv_250,230. Stand by Me,1986,1h 29m,R,8.1 (444K)
1718454606-231,https://www.imdb.com/chart/top/?ref_=nv_mv_250,231. The Incredibles,2004,1h 55m,G,8.0 (814K)
1718454606-232,https://www.imdb.com/chart/top/?ref_=nv_mv_250,232. Hachi: A Dog's Tale,2009,1h 33m,Not Rated,8.1 (313K)
1718454606-233,https://www.imdb.com/chart/top/?ref_=nv_mv_250,233. Babam ve Oglum,2005,1h 52m,Not Rated,8.2 (93K)
1718454606-234,https://www.imdb.com/chart/top/?ref_=nv_mv_250,234. Ah-ga-ssi,2016,2h 25m,21,8.1 (175K)
1718454606-235,https://www.imdb.com/chart/top/?ref_=nv_mv_250,235. The Sound of Music,1965,2h 52m,21,8.1 (262K)
1718454606-236,https://www.imdb.com/chart/top/?ref_=nv_mv_250,236. Into the Wild,2007,2h 28m,Approved,8.1 (660K)
1718454606-237,https://www.imdb.com/chart/top/?ref_=nv_mv_250,237. To Be or Not to Be,1942,1h 39m,Not Rated,8.1 (43K)
1718454606-238,https://www.imdb.com/chart/top/?ref_=nv_mv_250,238. La battaglia di Algeri,1966,2h 1m,Approved,8.1 (66K)
1718454606-239,https://www.imdb.com/chart/top/?ref_=nv_mv_250,239. The Grapes of Wrath,1940,2h 9m,17+,8.1 (100K)
1718454606-240,https://www.imdb.com/chart/top/?ref_=nv_mv_250,240. Groundhog Day,1993,1h 41m,R,8.0 (688K)
1718454606-241,https://www.imdb.com/chart/top/?ref_=nv_mv_250,241. Amores perros,2000,2h 34m,PG,8.1 (254K)
1718454606-242,https://www.imdb.com/chart/top/?ref_=nv_mv_250,242. The Iron Giant,1999,1h 26m,Approved,8.1 (229K)
1718454606-243,https://www.imdb.com/chart/top/?ref_=nv_mv_250,243. Rebecca,1940,2h 10m,Approved,8.1 (147K)
1718454606-244,https://www.imdb.com/chart/top/?ref_=nv_mv_250,244. Cool Hand Luke,1967,2h 7m,13+,8.1 (189K)
1718454606-245,https://www.imdb.com/chart/top/?ref_=nv_mv_250,245. The Help,2011,2h 26m,Approved,8.1 (495K)
1718454606-246,https://www.imdb.com/chart/top/?ref_=nv_mv_250,246. It Happened One Night,1934,1h 45m,13+,8.1 (113K)
1718454606-247,https://www.imdb.com/chart/top/?ref_=nv_mv_250,247. Drishyam,2015,2h 43m,PG-13,8.2 (95K)
1718454606-248,https://www.imdb.com/chart/top/?ref_=nv_mv_250,248. Dances with Wolves,1990,3h 1m,G,8.0 (292K)
1718454606-249,https://www.imdb.com/chart/top/?ref_=nv_mv_250,249. Aladdin,1992,1h 30m,17+,8.0 (470K)
1718454606-250,https://www.imdb.com/chart/top/?ref_=nv_mv_250,250. Andhadhun,2018,2h 19m,Not Rated,8.2 (103K)
