web-scraper-order,web-scraper-start-url,judul,tahun,durasi,age,rate
1718454606-63,https://www.imdb.com/chart/top/?ref_=nv_mv_250,63. Avengers: Infinity War,2018,2h 29m,Approved,8.4 (1.2M)
1718454606-64,https://www.imdb.com/chart/top/?ref_=nv_mv_250,64. Paths of Glory,1957,1h 28m,SU,8.4 (214K)
1718454606-65,https://www.imdb.com/chart/top/?ref_=nv_mv_250,65. Spider-Man: Into the Spider-Verse,2018,1h 57m,Approved,8.4 (678K)
1718454606-66,https://www.imdb.com/chart/top/?ref_=nv_mv_250,66. Witness for the Prosecution,1957,1h 56m,21,8.4 (139K)
1718454606-67,https://www.imdb.com/chart/top/?ref_=nv_mv_250,67. The Shining,1980,2h 26m,G,8.4 (1.1M)
1718454606-68,https://www.imdb.com/chart/top/?ref_=nv_mv_250,68. The Great Dictator,1940,2h 5m,17+,8.4 (238K)
1718454606-69,https://www.imdb.com/chart/top/?ref_=nv_mv_250,69. Aliens,1986,2h 17m,17+,8.4 (767K)
1718454606-70,https://www.imdb.com/chart/top/?ref_=nv_mv_250,70. Inglourious Basterds,2009,2h 33m,R,8.4 (1.6M)
1718454606-71,https://www.imdb.com/chart/top/?ref_=nv_mv_250,71. The Dark Knight Rises,2012,2h 44m,PG,8.4 (1.8M)
1718454606-72,https://www.imdb.com/chart/top/?ref_=nv_mv_250,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,SU,8.3 (520K)
1718454606-73,https://www.imdb.com/chart/top/?ref_=nv_mv_250,73. Ingat saya,2017,1h 45m,17+,8.4 (596K)
1718454606-74,https://www.imdb.com/chart/top/?ref_=nv_mv_250,74. Oldeuboi,2003,2h,21,8.3 (640K)
1718454606-75,https://www.imdb.com/chart/top/?ref_=nv_mv_250,75. American Beauty,1999,2h 2m,PG,8.3 (1.2M)
1718454606-76,https://www.imdb.com/chart/top/?ref_=nv_mv_250,76. Amadeus,1984,2h 40m,SU,8.4 (430K)
1718454606-77,https://www.imdb.com/chart/top/?ref_=nv_mv_250,77. Toy Story,1995,1h 21m,13+,8.3 (1.1M)
1718454606-78,https://www.imdb.com/chart/top/?ref_=nv_mv_250,78. Avengers: Endgame,2019,3h 1m,Not Rated,8.4 (1.3M)
1718454606-79,https://www.imdb.com/chart/top/?ref_=nv_mv_250,79. Das Boot,1981,2h 29m,21,8.4 (265K)
1718454606-80,https://www.imdb.com/chart/top/?ref_=nv_mv_250,80. Braveheart,1995,2h 58m,17+,8.3 (1.1M)
1718454606-81,https://www.imdb.com/chart/top/?ref_=nv_mv_250,81. Good Will Hunting,1997,2h 6m,13+,8.3 (1.1M)
1718454606-82,https://www.imdb.com/chart/top/?ref_=nv_mv_250,82. Mononoke-hime,1997,2h 14m,17+,8.3 (436K)
1718454606-83,https://www.imdb.com/chart/top/?ref_=nv_mv_250,83. Joker,2019,2h 2m,13+,8.4 (1.5M)
1718454606-84,https://www.imdb.com/chart/top/?ref_=nv_mv_250,84. Nama kamu.,2016,1h 46m,Not Rated,8.4 (324K)
1718454606-85,https://www.imdb.com/chart/top/?ref_=nv_mv_250,85. Tengoku to jigoku,1963,2h 23m,R,8.4 (54K)
1718454606-86,https://www.imdb.com/chart/top/?ref_=nv_mv_250,86. Once Upon a Time in America,1984,3h 49m,13+,8.3 (380K)
1718454606-87,https://www.imdb.com/chart/top/?ref_=nv_mv_250,87. 3 Idiots,2009,2h 50m,R,8.4 (437K)
1718454606-88,https://www.imdb.com/chart/top/?ref_=nv_mv_250,88. Singin' in the Rain,1952,1h 43m,13+,8.3 (262K)
1718454606-89,https://www.imdb.com/chart/top/?ref_=nv_mv_250,89. Capharnaüm,2018,2h 6m,Not Rated,8.4 (107K)
1718454606-90,https://www.imdb.com/chart/top/?ref_=nv_mv_250,90. Idi i smotri,1985,2h 22m,17+,8.4 (99K)
1718454606-91,https://www.imdb.com/chart/top/?ref_=nv_mv_250,91. Requiem for a Dream,2000,1h 42m,R,8.3 (903K)
1718454606-92,https://www.imdb.com/chart/top/?ref_=nv_mv_250,92. Toy Story 3,2010,1h 43m,PG,8.3 (896K)
1718454606-93,https://www.imdb.com/chart/top/?ref_=nv_mv_250,93. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,16+,8.3 (1.1M)
1718454606-94,https://www.imdb.com/chart/top/?ref_=nv_mv_250,94. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3 (1.1M)
1718454606-95,https://www.imdb.com/chart/top/?ref_=nv_mv_250,95. Jagten,2012,1h 55m,R,8.3 (367K)
1718454606-96,https://www.imdb.com/chart/top/?ref_=nv_mv_250,96. 2001: A Space Odyssey,1968,2h 29m,D,8.3 (723K)
1718454606-97,https://www.imdb.com/chart/top/?ref_=nv_mv_250,97. Reservoir Dogs,1992,1h 39m,Not Rated,8.3 (1.1M)
1718454606-98,https://www.imdb.com/chart/top/?ref_=nv_mv_250,98. Ikiru,1952,2h 23m,13+,8.3 (88K)
1718454606-99,https://www.imdb.com/chart/top/?ref_=nv_mv_250,99. Oppenheimer,2023,3h,13+,8.3 (753K)
1718454606-100,https://www.imdb.com/chart/top/?ref_=nv_mv_250,100. Lawrence of Arabia,1962,3h 38m,Approved,8.3 (316K)
